Year,Geography,Core public infrastructure assets,Type of municipality by population size,GeoCode,Value
2016,Canada,Potable water,All municipalities,null,29.45
2016,Canada,Potable water,All urban municipalities,null,32.43
2016,Canada,Potable water,"Urban municipalities, population 1 to 4,999",null,22.11
2016,Canada,Potable water,"Urban municipalities, population 5,000 to 29,999",null,36.05
2016,Canada,Potable water,"Urban municipalities, population 30,000 or more",null,41.67
2016,Canada,Potable water,All rural municipalities,null,27.61
2016,Canada,Potable water,"Rural municipalities, population 1 to 4,999",null,26.54
2016,Canada,Potable water,"Rural municipalities, population 5,000 or more",null,31.08
2016,Canada,Stormwater,All municipalities,null,51.11
2016,Canada,Stormwater,All urban municipalities,null,59.42
2016,Canada,Stormwater,"Urban municipalities, population 1 to 4,999",null,37.91
2016,Canada,Stormwater,"Urban municipalities, population 5,000 to 29,999",null,64.03
2016,Canada,Stormwater,"Urban municipalities, population 30,000 or more",null,77.18
2016,Canada,Stormwater,All rural municipalities,null,45.44
2016,Canada,Stormwater,"Rural municipalities, population 1 to 4,999",null,44.87
2016,Canada,Stormwater,"Rural municipalities, population 5,000 or more",null,46.98
2016,Canada,Wastewater,All municipalities,null,35.37
2016,Canada,Wastewater,All urban municipalities,null,39.44
2016,Canada,Wastewater,"Urban municipalities, population 1 to 4,999",null,28.21
2016,Canada,Wastewater,"Urban municipalities, population 5,000 to 29,999",null,42.15
2016,Canada,Wastewater,"Urban municipalities, population 30,000 or more",null,50.36
2016,Canada,Wastewater,All rural municipalities,null,33.02
2016,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",null,32.6
2016,Canada,Wastewater,"Rural municipalities, population 5,000 or more",null,34.08
2016,Canada,Solid waste,All municipalities,null,15.27
2016,Canada,Solid waste,All urban municipalities,null,18.18
2016,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",null,11.76
2016,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",null,19.38
2016,Canada,Solid waste,"Urban municipalities, population 30,000 or more",null,23.23
2016,Canada,Solid waste,All rural municipalities,null,13.67
2016,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",null,16.1
2016,Canada,Solid waste,"Rural municipalities, population 5,000 or more",null,6.92
2016,Newfoundland and Labrador,Potable water,All municipalities,10,35.48
2016,Newfoundland and Labrador,Potable water,All urban municipalities,10,23.08
2016,Newfoundland and Labrador,Potable water,"Urban municipalities, population 1 to 4,999",10,18.75
2016,Newfoundland and Labrador,Potable water,"Urban municipalities, population 5,000 to 29,999",10,22.22
2016,Newfoundland and Labrador,Potable water,"Urban municipalities, population 30,000 or more",10,100
2016,Newfoundland and Labrador,Potable water,All rural municipalities,10,44.44
2016,Newfoundland and Labrador,Potable water,"Rural municipalities, population 1 to 4,999",10,36.67
2016,Newfoundland and Labrador,Potable water,"Rural municipalities, population 5,000 or more",10,83.33
2016,Newfoundland and Labrador,Stormwater,All municipalities,10,71.43
2016,Newfoundland and Labrador,Stormwater,All urban municipalities,10,66.67
2016,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 1 to 4,999",10,64.29
2016,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 5,000 to 29,999",10,66.67
2016,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 30,000 or more",10,100
2016,Newfoundland and Labrador,Stormwater,All rural municipalities,10,75
2016,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 1 to 4,999",10,73.08
2016,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 5,000 or more",10,83.33
2016,Newfoundland and Labrador,Wastewater,All municipalities,10,41.94
2016,Newfoundland and Labrador,Wastewater,All urban municipalities,10,33.33
2016,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 1 to 4,999",10,35.71
2016,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 5,000 to 29,999",10,22.22
2016,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 30,000 or more",10,100
2016,Newfoundland and Labrador,Wastewater,All rural municipalities,10,47.37
2016,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 1 to 4,999",10,43.75
2016,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 5,000 or more",10,66.67
2016,Newfoundland and Labrador,Solid waste,All municipalities,10,18.92
2016,Newfoundland and Labrador,Solid waste,All urban municipalities,10,25
2016,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 1 to 4,999",10,25
2016,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 5,000 to 29,999",10,14.29
2016,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 30,000 or more",10,100
2016,Newfoundland and Labrador,Solid waste,All rural municipalities,10,0
2016,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 1 to 4,999",10,0
2016,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 5,000 or more",10,0
2016,Prince Edward Island,Potable water,All municipalities,11,28.57
2016,Prince Edward Island,Potable water,All urban municipalities,11,50
2016,Prince Edward Island,Potable water,"Urban municipalities, population 1 to 4,999",11,0
2016,Prince Edward Island,Potable water,"Urban municipalities, population 5,000 to 29,999",11,33.33
2016,Prince Edward Island,Potable water,"Urban municipalities, population 30,000 or more",11,100
2016,Prince Edward Island,Potable water,All rural municipalities,11,0
2016,Prince Edward Island,Potable water,"Rural municipalities, population 1 to 4,999",11,0
2016,Prince Edward Island,Potable water,"Rural municipalities, population 5,000 or more",11,0
2016,Prince Edward Island,Stormwater,All municipalities,11,75
2016,Prince Edward Island,Stormwater,All urban municipalities,11,100
2016,Prince Edward Island,Stormwater,"Urban municipalities, population 1 to 4,999",11,0
2016,Prince Edward Island,Stormwater,"Urban municipalities, population 5,000 to 29,999",11,100
2016,Prince Edward Island,Stormwater,"Urban municipalities, population 30,000 or more",11,100
2016,Prince Edward Island,Stormwater,All rural municipalities,11,50
2016,Prince Edward Island,Stormwater,"Rural municipalities, population 1 to 4,999",11,50
2016,Prince Edward Island,Stormwater,"Rural municipalities, population 5,000 or more",11,0
2016,Prince Edward Island,Wastewater,All municipalities,11,44.44
2016,Prince Edward Island,Wastewater,All urban municipalities,11,40
2016,Prince Edward Island,Wastewater,"Urban municipalities, population 1 to 4,999",11,100
2016,Prince Edward Island,Wastewater,"Urban municipalities, population 5,000 to 29,999",11,33.33
2016,Prince Edward Island,Wastewater,"Urban municipalities, population 30,000 or more",11,0
2016,Prince Edward Island,Wastewater,All rural municipalities,11,50
2016,Prince Edward Island,Wastewater,"Rural municipalities, population 1 to 4,999",11,50
2016,Prince Edward Island,Wastewater,"Rural municipalities, population 5,000 or more",11,0
2016,Prince Edward Island,Solid waste,All municipalities,11,0
2016,Prince Edward Island,Solid waste,All urban municipalities,11,0
2016,Prince Edward Island,Solid waste,"Urban municipalities, population 1 to 4,999",11,0
2016,Prince Edward Island,Solid waste,"Urban municipalities, population 5,000 to 29,999",11,0
2016,Prince Edward Island,Solid waste,"Urban municipalities, population 30,000 or more",11,0
2016,Prince Edward Island,Solid waste,All rural municipalities,11,0
2016,Prince Edward Island,Solid waste,"Rural municipalities, population 1 to 4,999",11,0
2016,Prince Edward Island,Solid waste,"Rural municipalities, population 5,000 or more",11,0
2016,Nova Scotia,Potable water,All municipalities,12,56.67
2016,Nova Scotia,Potable water,All urban municipalities,12,55.56
2016,Nova Scotia,Potable water,"Urban municipalities, population 1 to 4,999",12,33.33
2016,Nova Scotia,Potable water,"Urban municipalities, population 5,000 to 29,999",12,50
2016,Nova Scotia,Potable water,"Urban municipalities, population 30,000 or more",12,100
2016,Nova Scotia,Potable water,All rural municipalities,12,57.14
2016,Nova Scotia,Potable water,"Rural municipalities, population 1 to 4,999",12,60
2016,Nova Scotia,Potable water,"Rural municipalities, population 5,000 or more",12,50
2016,Nova Scotia,Stormwater,All municipalities,12,80
2016,Nova Scotia,Stormwater,All urban municipalities,12,90
2016,Nova Scotia,Stormwater,"Urban municipalities, population 1 to 4,999",12,100
2016,Nova Scotia,Stormwater,"Urban municipalities, population 5,000 to 29,999",12,80
2016,Nova Scotia,Stormwater,"Urban municipalities, population 30,000 or more",12,100
2016,Nova Scotia,Stormwater,All rural municipalities,12,75
2016,Nova Scotia,Stormwater,"Rural municipalities, population 1 to 4,999",12,69.23
2016,Nova Scotia,Stormwater,"Rural municipalities, population 5,000 or more",12,85.71
2016,Nova Scotia,Wastewater,All municipalities,12,68.42
2016,Nova Scotia,Wastewater,All urban municipalities,12,70
2016,Nova Scotia,Wastewater,"Urban municipalities, population 1 to 4,999",12,33.33
2016,Nova Scotia,Wastewater,"Urban municipalities, population 5,000 to 29,999",12,80
2016,Nova Scotia,Wastewater,"Urban municipalities, population 30,000 or more",12,100
2016,Nova Scotia,Wastewater,All rural municipalities,12,67.86
2016,Nova Scotia,Wastewater,"Rural municipalities, population 1 to 4,999",12,64.71
2016,Nova Scotia,Wastewater,"Rural municipalities, population 5,000 or more",12,72.73
2016,Nova Scotia,Solid waste,All municipalities,12,11.11
2016,Nova Scotia,Solid waste,All urban municipalities,12,0
2016,Nova Scotia,Solid waste,"Urban municipalities, population 1 to 4,999",12,0
2016,Nova Scotia,Solid waste,"Urban municipalities, population 5,000 to 29,999",12,0
2016,Nova Scotia,Solid waste,"Urban municipalities, population 30,000 or more",12,0
2016,Nova Scotia,Solid waste,All rural municipalities,12,14.29
2016,Nova Scotia,Solid waste,"Rural municipalities, population 1 to 4,999",12,0
2016,Nova Scotia,Solid waste,"Rural municipalities, population 5,000 or more",12,25
2016,New Brunswick,Potable water,All municipalities,13,43.14
2016,New Brunswick,Potable water,All urban municipalities,13,39.13
2016,New Brunswick,Potable water,"Urban municipalities, population 1 to 4,999",13,41.67
2016,New Brunswick,Potable water,"Urban municipalities, population 5,000 to 29,999",13,50
2016,New Brunswick,Potable water,"Urban municipalities, population 30,000 or more",13,0
2016,New Brunswick,Potable water,All rural municipalities,13,46.43
2016,New Brunswick,Potable water,"Rural municipalities, population 1 to 4,999",13,45.83
2016,New Brunswick,Potable water,"Rural municipalities, population 5,000 or more",13,20
2016,New Brunswick,Stormwater,All municipalities,13,59.02
2016,New Brunswick,Stormwater,All urban municipalities,13,55.56
2016,New Brunswick,Stormwater,"Urban municipalities, population 1 to 4,999",13,50
2016,New Brunswick,Stormwater,"Urban municipalities, population 5,000 to 29,999",13,75
2016,New Brunswick,Stormwater,"Urban municipalities, population 30,000 or more",13,66.67
2016,New Brunswick,Stormwater,All rural municipalities,13,61.76
2016,New Brunswick,Stormwater,"Rural municipalities, population 1 to 4,999",13,65.52
2016,New Brunswick,Stormwater,"Rural municipalities, population 5,000 or more",13,60
2016,New Brunswick,Wastewater,All municipalities,13,43.55
2016,New Brunswick,Wastewater,All urban municipalities,13,46.43
2016,New Brunswick,Wastewater,"Urban municipalities, population 1 to 4,999",13,41.18
2016,New Brunswick,Wastewater,"Urban municipalities, population 5,000 to 29,999",13,75
2016,New Brunswick,Wastewater,"Urban municipalities, population 30,000 or more",13,0
2016,New Brunswick,Wastewater,All rural municipalities,13,44.12
2016,New Brunswick,Wastewater,"Rural municipalities, population 1 to 4,999",13,50
2016,New Brunswick,Wastewater,"Rural municipalities, population 5,000 or more",13,0
2016,New Brunswick,Solid waste,All municipalities,13,5
2016,New Brunswick,Solid waste,All urban municipalities,13,0
2016,New Brunswick,Solid waste,"Urban municipalities, population 1 to 4,999",13,0
2016,New Brunswick,Solid waste,"Urban municipalities, population 5,000 to 29,999",13,0
2016,New Brunswick,Solid waste,"Urban municipalities, population 30,000 or more",13,0
2016,New Brunswick,Solid waste,All rural municipalities,13,7.69
2016,New Brunswick,Solid waste,"Rural municipalities, population 1 to 4,999",13,10
2016,New Brunswick,Solid waste,"Rural municipalities, population 5,000 or more",13,0
2016,Quebec,Potable water,All municipalities,24,26.7
2016,Quebec,Potable water,All urban municipalities,24,25.81
2016,Quebec,Potable water,"Urban municipalities, population 1 to 4,999",24,18.92
2016,Quebec,Potable water,"Urban municipalities, population 5,000 to 29,999",24,32.89
2016,Quebec,Potable water,"Urban municipalities, population 30,000 or more",24,25
2016,Quebec,Potable water,All rural municipalities,24,27.13
2016,Quebec,Potable water,"Rural municipalities, population 1 to 4,999",24,0
2016,Quebec,Potable water,"Rural municipalities, population 5,000 or more",24,42.86
2016,Quebec,Stormwater,All municipalities,24,45.7
2016,Quebec,Stormwater,All urban municipalities,24,55.96
2016,Quebec,Stormwater,"Urban municipalities, population 1 to 4,999",24,31.94
2016,Quebec,Stormwater,"Urban municipalities, population 5,000 to 29,999",24,63.53
2016,Quebec,Stormwater,"Urban municipalities, population 30,000 or more",24,86.11
2016,Quebec,Stormwater,All rural municipalities,24,38.98
2016,Quebec,Stormwater,"Rural municipalities, population 1 to 4,999",24,37.86
2016,Quebec,Stormwater,"Rural municipalities, population 5,000 or more",24,44.23
2016,Quebec,Wastewater,All municipalities,24,31.79
2016,Quebec,Wastewater,All urban municipalities,24,33.5
2016,Quebec,Wastewater,"Urban municipalities, population 1 to 4,999",24,21.52
2016,Quebec,Wastewater,"Urban municipalities, population 5,000 to 29,999",24,34.94
2016,Quebec,Wastewater,"Urban municipalities, population 30,000 or more",24,52.78
2016,Quebec,Wastewater,All rural municipalities,24,30.85
2016,Quebec,Wastewater,"Rural municipalities, population 1 to 4,999",24,31.07
2016,Quebec,Wastewater,"Rural municipalities, population 5,000 or more",24,30.19
2016,Quebec,Solid waste,All municipalities,24,0
2016,Quebec,Solid waste,All urban municipalities,24,12.86
2016,Quebec,Solid waste,"Urban municipalities, population 1 to 4,999",24,13.04
2016,Quebec,Solid waste,"Urban municipalities, population 5,000 to 29,999",24,14.29
2016,Quebec,Solid waste,"Urban municipalities, population 30,000 or more",24,5.26
2016,Quebec,Solid waste,All rural municipalities,24,0
2016,Quebec,Solid waste,"Rural municipalities, population 1 to 4,999",24,0
2016,Quebec,Solid waste,"Rural municipalities, population 5,000 or more",24,12.5
2016,Ontario,Potable water,All municipalities,35,23.98
2016,Ontario,Potable water,All urban municipalities,35,28.7
2016,Ontario,Potable water,"Urban municipalities, population 1 to 4,999",35,14.29
2016,Ontario,Potable water,"Urban municipalities, population 5,000 to 29,999",35,34.55
2016,Ontario,Potable water,"Urban municipalities, population 30,000 or more",35,21.74
2016,Ontario,Potable water,All rural municipalities,35,20.29
2016,Ontario,Potable water,"Rural municipalities, population 1 to 4,999",35,0
2016,Ontario,Potable water,"Rural municipalities, population 5,000 or more",35,22.08
2016,Ontario,Stormwater,All municipalities,35,51.14
2016,Ontario,Stormwater,All urban municipalities,35,58.7
2016,Ontario,Stormwater,"Urban municipalities, population 1 to 4,999",35,33.33
2016,Ontario,Stormwater,"Urban municipalities, population 5,000 to 29,999",35,54.69
2016,Ontario,Stormwater,"Urban municipalities, population 30,000 or more",35,71.19
2016,Ontario,Stormwater,All rural municipalities,35,44.97
2016,Ontario,Stormwater,"Rural municipalities, population 1 to 4,999",35,54.55
2016,Ontario,Stormwater,"Rural municipalities, population 5,000 or more",35,36.96
2016,Ontario,Wastewater,All municipalities,35,34.44
2016,Ontario,Wastewater,All urban municipalities,35,37.96
2016,Ontario,Wastewater,"Urban municipalities, population 1 to 4,999",35,0
2016,Ontario,Wastewater,"Urban municipalities, population 5,000 to 29,999",35,42.31
2016,Ontario,Wastewater,"Urban municipalities, population 30,000 or more",35,39.58
2016,Ontario,Wastewater,All rural municipalities,35,30.83
2016,Ontario,Wastewater,"Rural municipalities, population 1 to 4,999",35,30.65
2016,Ontario,Wastewater,"Rural municipalities, population 5,000 or more",35,30.56
2016,Ontario,Solid waste,All municipalities,35,10.87
2016,Ontario,Solid waste,All urban municipalities,35,11.9
2016,Ontario,Solid waste,"Urban municipalities, population 1 to 4,999",35,5.26
2016,Ontario,Solid waste,"Urban municipalities, population 5,000 to 29,999",35,12.9
2016,Ontario,Solid waste,"Urban municipalities, population 30,000 or more",35,14.29
2016,Ontario,Solid waste,All rural municipalities,35,10.27
2016,Ontario,Solid waste,"Rural municipalities, population 1 to 4,999",35,16.05
2016,Ontario,Solid waste,"Rural municipalities, population 5,000 or more",35,3.12
2016,Manitoba,Potable water,All municipalities,46,28.26
2016,Manitoba,Potable water,All urban municipalities,46,31.82
2016,Manitoba,Potable water,"Urban municipalities, population 1 to 4,999",46,14.29
2016,Manitoba,Potable water,"Urban municipalities, population 5,000 to 29,999",46,38.46
2016,Manitoba,Potable water,"Urban municipalities, population 30,000 or more",46,50
2016,Manitoba,Potable water,All rural municipalities,46,27.14
2016,Manitoba,Potable water,"Rural municipalities, population 1 to 4,999",46,27.87
2016,Manitoba,Potable water,"Rural municipalities, population 5,000 or more",46,25
2016,Manitoba,Stormwater,All municipalities,46,50.5
2016,Manitoba,Stormwater,All urban municipalities,46,66.67
2016,Manitoba,Stormwater,"Urban municipalities, population 1 to 4,999",46,0
2016,Manitoba,Stormwater,"Urban municipalities, population 5,000 to 29,999",46,80
2016,Manitoba,Stormwater,"Urban municipalities, population 30,000 or more",46,100
2016,Manitoba,Stormwater,All rural municipalities,46,48.24
2016,Manitoba,Stormwater,"Rural municipalities, population 1 to 4,999",46,49.32
2016,Manitoba,Stormwater,"Rural municipalities, population 5,000 or more",46,41.67
2016,Manitoba,Wastewater,All municipalities,46,31.62
2016,Manitoba,Wastewater,All urban municipalities,46,28.57
2016,Manitoba,Wastewater,"Urban municipalities, population 1 to 4,999",46,0
2016,Manitoba,Wastewater,"Urban municipalities, population 5,000 to 29,999",46,38.46
2016,Manitoba,Wastewater,"Urban municipalities, population 30,000 or more",46,50
2016,Manitoba,Wastewater,All rural municipalities,46,32.29
2016,Manitoba,Wastewater,"Rural municipalities, population 1 to 4,999",46,31.76
2016,Manitoba,Wastewater,"Rural municipalities, population 5,000 or more",46,33.33
2016,Manitoba,Solid waste,All municipalities,46,14.81
2016,Manitoba,Solid waste,All urban municipalities,46,27.78
2016,Manitoba,Solid waste,"Urban municipalities, population 1 to 4,999",46,0
2016,Manitoba,Solid waste,"Urban municipalities, population 5,000 to 29,999",46,41.67
2016,Manitoba,Solid waste,"Urban municipalities, population 30,000 or more",46,0
2016,Manitoba,Solid waste,All rural municipalities,46,0
2016,Manitoba,Solid waste,"Rural municipalities, population 1 to 4,999",46,0
2016,Manitoba,Solid waste,"Rural municipalities, population 5,000 or more",46,0
2016,Saskatchewan,Potable water,All municipalities,47,14.29
2016,Saskatchewan,Potable water,All urban municipalities,47,21.15
2016,Saskatchewan,Potable water,"Urban municipalities, population 1 to 4,999",47,17.95
2016,Saskatchewan,Potable water,"Urban municipalities, population 5,000 to 29,999",47,11.11
2016,Saskatchewan,Potable water,"Urban municipalities, population 30,000 or more",47,75
2016,Saskatchewan,Potable water,All rural municipalities,47,10
2016,Saskatchewan,Potable water,"Rural municipalities, population 1 to 4,999",47,10.53
2016,Saskatchewan,Potable water,"Rural municipalities, population 5,000 or more",47,0
2016,Saskatchewan,Stormwater,All municipalities,47,31.87
2016,Saskatchewan,Stormwater,All urban municipalities,47,41.03
2016,Saskatchewan,Stormwater,"Urban municipalities, population 1 to 4,999",47,34.62
2016,Saskatchewan,Stormwater,"Urban municipalities, population 5,000 to 29,999",47,44.44
2016,Saskatchewan,Stormwater,"Urban municipalities, population 30,000 or more",47,75
2016,Saskatchewan,Stormwater,All rural municipalities,47,25
2016,Saskatchewan,Stormwater,"Rural municipalities, population 1 to 4,999",47,24.49
2016,Saskatchewan,Stormwater,"Rural municipalities, population 5,000 or more",47,33.33
2016,Saskatchewan,Wastewater,All municipalities,47,24.27
2016,Saskatchewan,Wastewater,All urban municipalities,47,39.13
2016,Saskatchewan,Wastewater,"Urban municipalities, population 1 to 4,999",47,41.18
2016,Saskatchewan,Wastewater,"Urban municipalities, population 5,000 to 29,999",47,12.5
2016,Saskatchewan,Wastewater,"Urban municipalities, population 30,000 or more",47,75
2016,Saskatchewan,Wastewater,All rural municipalities,47,12.07
2016,Saskatchewan,Wastewater,"Rural municipalities, population 1 to 4,999",47,10.91
2016,Saskatchewan,Wastewater,"Rural municipalities, population 5,000 or more",47,33.33
2016,Saskatchewan,Solid waste,All municipalities,47,11
2016,Saskatchewan,Solid waste,All urban municipalities,47,19.44
2016,Saskatchewan,Solid waste,"Urban municipalities, population 1 to 4,999",47,16
2016,Saskatchewan,Solid waste,"Urban municipalities, population 5,000 to 29,999",47,14.29
2016,Saskatchewan,Solid waste,"Urban municipalities, population 30,000 or more",47,50
2016,Saskatchewan,Solid waste,All rural municipalities,47,6.35
2016,Saskatchewan,Solid waste,"Rural municipalities, population 1 to 4,999",47,6.56
2016,Saskatchewan,Solid waste,"Rural municipalities, population 5,000 or more",47,0
2016,Alberta,Potable water,All municipalities,48,28.26
2016,Alberta,Potable water,All urban municipalities,48,35.59
2016,Alberta,Potable water,"Urban municipalities, population 1 to 4,999",48,20
2016,Alberta,Potable water,"Urban municipalities, population 5,000 to 29,999",48,29.63
2016,Alberta,Potable water,"Urban municipalities, population 30,000 or more",48,66.67
2016,Alberta,Potable water,All rural municipalities,48,24.8
2016,Alberta,Potable water,"Rural municipalities, population 1 to 4,999",48,27.16
2016,Alberta,Potable water,"Rural municipalities, population 5,000 or more",48,20
2016,Alberta,Stormwater,All municipalities,48,45.4
2016,Alberta,Stormwater,All urban municipalities,48,46.03
2016,Alberta,Stormwater,"Urban municipalities, population 1 to 4,999",48,27.27
2016,Alberta,Stormwater,"Urban municipalities, population 5,000 to 29,999",48,51.85
2016,Alberta,Stormwater,"Urban municipalities, population 30,000 or more",48,69.23
2016,Alberta,Stormwater,All rural municipalities,48,44.55
2016,Alberta,Stormwater,"Rural municipalities, population 1 to 4,999",48,40.98
2016,Alberta,Stormwater,"Rural municipalities, population 5,000 or more",48,51.28
2016,Alberta,Wastewater,All municipalities,48,31.02
2016,Alberta,Wastewater,All urban municipalities,48,38.1
2016,Alberta,Wastewater,"Urban municipalities, population 1 to 4,999",48,29.17
2016,Alberta,Wastewater,"Urban municipalities, population 5,000 to 29,999",48,40.74
2016,Alberta,Wastewater,"Urban municipalities, population 30,000 or more",48,50
2016,Alberta,Wastewater,All rural municipalities,48,28.23
2016,Alberta,Wastewater,"Rural municipalities, population 1 to 4,999",48,24.36
2016,Alberta,Wastewater,"Rural municipalities, population 5,000 or more",48,34.78
2016,Alberta,Solid waste,All municipalities,48,21.37
2016,Alberta,Solid waste,All urban municipalities,48,30.23
2016,Alberta,Solid waste,"Urban municipalities, population 1 to 4,999",48,9.09
2016,Alberta,Solid waste,"Urban municipalities, population 5,000 to 29,999",48,30
2016,Alberta,Solid waste,"Urban municipalities, population 30,000 or more",48,50
2016,Alberta,Solid waste,All rural municipalities,48,17.05
2016,Alberta,Solid waste,"Rural municipalities, population 1 to 4,999",48,21.82
2016,Alberta,Solid waste,"Rural municipalities, population 5,000 or more",48,6.25
2016,British Columbia,Potable water,All municipalities,59,54.17
2016,British Columbia,Potable water,All urban municipalities,59,64.06
2016,British Columbia,Potable water,"Urban municipalities, population 1 to 4,999",59,41.67
2016,British Columbia,Potable water,"Urban municipalities, population 5,000 to 29,999",59,62.96
2016,British Columbia,Potable water,"Urban municipalities, population 30,000 or more",59,73.08
2016,British Columbia,Potable water,All rural municipalities,59,42.86
2016,British Columbia,Potable water,"Rural municipalities, population 1 to 4,999",59,42.5
2016,British Columbia,Potable water,"Rural municipalities, population 5,000 or more",59,43.75
2016,British Columbia,Stormwater,All municipalities,59,76.56
2016,British Columbia,Stormwater,All urban municipalities,59,85.92
2016,British Columbia,Stormwater,"Urban municipalities, population 1 to 4,999",59,72.73
2016,British Columbia,Stormwater,"Urban municipalities, population 5,000 to 29,999",59,93.75
2016,British Columbia,Stormwater,"Urban municipalities, population 30,000 or more",59,85.71
